lag_steps,acf
1,0.7589087142472778
2,0.5471648860012656
3,0.4421237207761038
4,0.38817425408360456
5,0.35368118369006374
6,0.32260035934135756
7,0.2910566725852468
8,0.2978473386482611
9,0.32996918027816
10,0.3470358382427069
11,0.32910316510005294
12,0.31147345596309317
13,0.29621416105939824
14,0.2713795634314719
15,0.24117729052303383
16,0.2148257025054713
17,0.19232765237016647
18,0.18222378016764923
19,0.17699631251670356
20,0.16892070275216378
21,0.15518486801649312
22,0.14302867548661313
23,0.13093547322294444
24,0.11781457699108638
25,0.10597471279592867
26,0.0990280161313611
27,0.0911378400942273
28,0.08542887523155517
29,0.07744691570860221
30,0.0713202339990885
31,0.06299667325911633
32,0.05737113869570506
33,0.05040561624994751
34,0.036643477900672135
35,0.026502712217910777
36,0.02124757308072425
37,0.017139785731446745
38,0.01831066976051435
39,0.017132092652035472
40,0.014972523534892184
41,0.010701937861132145
42,0.002672071508808688
43,-0.008168209265742226
44,-0.01036725800756365
45,-0.011619786523014836
46,-0.019134753991221158
47,-0.030266673586695853
48,-0.04345304648692728
49,-0.05020622222541989
50,-0.04690637105434095
51,-0.047745578681126125
52,-0.05317390245294391
53,-0.060767628911662305
54,-0.05896231876737453
55,-0.05450647178509372
56,-0.05299441332651005
57,-0.05745461307719605
58,-0.06603975723230876
59,-0.075342295912005
60,-0.07852712081194049
61,-0.08371557316586185
62,-0.08828122040011399
63,-0.09667539928647172
64,-0.10450022538405586
65,-0.10751540524436076
66,-0.10577231872902136
67,-0.10877765600579765
68,-0.10662557011401096
69,-0.10555523874828918
70,-0.10854822997929846
71,-0.11385164639848908
72,-0.11106947336436529
73,-0.10942124361811024
74,-0.10920516581544909
75,-0.10832161616764788
76,-0.11140983631978292
77,-0.10612341723378922
78,-0.09883445431216921
79,-0.0934628849774575
80,-0.09295265747746724
81,-0.09218553837695466
82,-0.08402708189706433
83,-0.07774519429463084
84,-0.07064792190540276
85,-0.06640537697618405
86,-0.06736465255228342
87,-0.0630103680919535
88,-0.06384594922080837
89,-0.0641872815449891
90,-0.060471301960636666
91,-0.056725637360242026
92,-0.051709479318410155
93,-0.04635630967292888
94,-0.045294162812857475
95,-0.04253299972911306
96,-0.03558754971551249
97,-0.03372230630341242
98,-0.03358113315128441
99,-0.03668856418720539
100,-0.031893996587625525
101,-0.028122775928845836
102,-0.031141968227225345
103,-0.032126734676488425
104,-0.03144145884301489
105,-0.027554041483930185
106,-0.01921060881880201
107,-0.01179558775722591
108,-0.01536353524111679
109,-0.021238126774908307
110,-0.020243161499062988
111,-0.012786645707957263
112,-0.002809456705378757
113,0.002859236415072026
114,0.010558825783288497
115,0.013819908417119338
116,0.024633370283589934
117,0.033779356044939125
118,0.03683695982410038
119,0.03610001699926709
120,0.03343128606031338
121,0.03032944805836002
122,0.036454982484646674
123,0.04673756379462401
124,0.05762031088740032
125,0.06615214113340342
126,0.07356514639213504
127,0.07919954173653646
128,0.08701137532850518
129,0.09102134719002604
130,0.09426219085771799
131,0.10425575849447555
132,0.11285890436989815
133,0.12336669090493742
134,0.1379564661177318
135,0.15019422848214345
136,0.15808547894559152
137,0.15797002718827577
138,0.16050397374411748
139,0.16658511945293514
140,0.18527611731110655
141,0.19294623150674942
142,0.1962561109953897
143,0.2036708361284224
144,0.20830154903142412
